stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,Panauti Bus Park (Flag),,27.586921,85.513344,,,,166,,
2,2,Bansghari-Kavre (eb),,27.59635,85.521793,,,,167,,
3,3,Bansghari-Kavre (wb),,27.596358,85.521752,,,,167,,
4,4,Dudh Mill (eb),,27.589558,85.515964,,,,168,,
5,5,Dudh Mill (wb),,27.589578,85.515947,,,,168,,
6,6,Dhalmale (eb),,27.60083,85.527111,,,,169,,
7,7,Dhalmale (wb),,27.600882,85.527097,,,,169,,
8,8,Chaukot (eb),,27.610191,85.530683,,,,170,,
9,9,Chaukot (wb),,27.610165,85.530567,,,,170,,
10,10,SOS School (eb),,27.615704,85.528834,,,,171,,
11,11,SOS School (wb),,27.615701,85.528798,,,,171,,
12,12,Dhaneshowr (eb),,27.621734,85.524166,,,,172,,
13,13,Dhaneshowr (wb),,27.621735,85.524133,,,,172,,
14,14,Media Chowk (wb),,27.627869,85.522967,,,,173,,
15,15,Media Chowk (eb),,27.627846,85.522981,,,,173,,
16,16,Millenium (eb),,27.628102,85.523338,,,,174,,
17,17,Millenium (wb),,27.628118,85.523299,,,,174,,
18,18,Chardobato-Banepa (eb),,27.629568,85.523873,,,,175,,
19,19,Chardobato-Banepa (wb),,27.630094,85.523719,,,,175,,
20,20,Tindobato (wb),,27.631151,85.518661,,,,176,,
21,21,Tindobato (eb),,27.631229,85.518684,,,,176,,
22,22,Janagal (wb),,27.631812,85.507852,,,,177,,
23,23,Janagal (eb),,27.631957,85.507732,,,,177,,
24,24,Curex (wb),,27.63168,85.497221,,,,178,,
25,25,Curex (eb),,27.631704,85.497214,,,,178,,
26,26,Bhaisepati (wb),,27.635382,85.49024,,,,179,,
27,27,Bhaisepati (eb),,27.635401,85.49026,,,,179,,
28,28,Nasikasthan (wb),,27.64013,85.481858,,,,180,,
29,29,Nasikasthan (eb),,27.640152,85.481866,,,,180,,
30,30,Sanga (wb),,27.641776,85.477631,,,,181,,
31,31,Sanga (eb),,27.641804,85.477627,,,,181,,
32,32,Jholunge Pul (wb),,27.643306,85.474503,,,,182,,
33,33,Jholunge Pul (eb),,27.643329,85.474501,,,,182,,
34,34,Palanse (eb),,27.643788,85.465391,,,,183,,
35,35,Palanse (wb),,27.64378,85.465363,,,,183,,
36,36,Jorpati (wb),,27.651719,85.461739,,,,184,,
37,37,Jorpati (eb),,27.651732,85.461758,,,,184,,
38,38,Milanchowk (wb),,27.653357,85.459789,,,,185,,
39,39,Milanchowk (eb),,27.653391,85.459791,,,,185,,
40,40,Nalinchowk (wb),,27.654034,85.456969,,,,186,,
41,41,Nalinchowk (eb),,27.654055,85.456978,,,,186,,
42,42,Bansghari-Bhaktapur (eb),,27.658687,85.452658,,,,187,,
43,43,Bansghari-Bhaktapur (wb),,27.658668,85.452642,,,,187,,
44,44,Bhate Dhikur (eb),,27.661037,85.446482,,,,188,,
45,45,Bhate Dhikur (wb),,27.661009,85.446484,,,,188,,
46,46,Jagati (eb),,27.66646,85.437622,,,,189,,
47,47,Jagati (wb),,27.666438,85.437615,,,,189,,
48,48,Aadarsha (eb),,27.666476,85.433493,,,,190,,
49,49,Aadarsha (wb),,27.666454,85.433495,,,,190,,
50,50,Suryabinayak Wari (wb),,27.665641,85.425665,,,,191,,
51,51,Suryabinayak Pari (wb),,27.665685,85.423872,,,,192,,
52,52,Suryabinayak (eb),,27.665792,85.424776,,,,192,,
53,53,Sallaghari (wb),,27.671999,85.407351,,,,193,,
54,54,Sallaghari (eb),,27.672136,85.407406,,,,193,,
55,55,Srijana Nagar (eb),,27.672727,85.405277,,,,194,,
56,56,Srijana Nagar (wb),,27.672937,85.403925,,,,194,,
57,57,Radhe Radhe (wb),,27.674488,85.397628,,,,195,,
58,58,Radhe Radhe (eb),,27.674613,85.397678,,,,195,,
59,59,SS Chowk (eb),,27.674089,85.391374,,,,196,,
60,60,SS Chowk (wb),,27.673951,85.391386,,,,196,,
61,61,Thimi (eb),,27.67351,85.386857,,,,197,,
